CardNo,Food&Grocery,DepartmentStores,Travelservice,Transportation,Food&Grocery_F,DepartmentStores_F,Travelservice_F,Transportation_F
86,478749,272091,42178,369789,3,34,8,7
73,917925,315068,96411,198581,33,17,7,28
29,488234,118013,134298,372051,4,33,27,44
69,779688,12516,300899,203283,43,16,33,26
7,118321,392166,127754,277495,33,17,26,4
6,284418,364699,109694,191310,24,12,0,19
2,152546,51554,86538,182976,35,4,30,29
6,673818,441643,394749,204970,30,6,43,11
21,959782,346030,260819,97813,36,6,11,48
28,44185,236953,496127,451171,47,9,25,9
92,55574,244512,221158,363889,32,9,42,10
92,632933,384852,56886,369862,28,47,36,42
12,943824,79272,159396,181193,22,15,17,22
66,105251,119808,291771,83641,34,27,18,11
59,305989,207279,468920,348583,48,46,30,46
71,211421,416003,176044,106809,45,48,15,24
83,921740,470018,295063,334387,12,48,39,45
26,867082,279066,359325,450343,14,36,47,3
34,330241,498075,190201,28605,6,16,31,33
69,397044,237306,411884,307420,29,41,50,34
71,543499,32801,322052,209156,45,43,49,41
81,97556,229677,290386,323384,31,3,3,38
37,235887,198407,379996,410729,22,10,50,46
76,522819,356412,479317,158044,3,19,49,16
41,906816,148168,47921,493336,46,7,49,17
12,739875,21897,381832,8639,27,46,11,22
64,961320,267599,65976,315954,49,14,20,16
22,863350,292052,27870,232938,25,34,37,49
89,406941,255264,273342,271417,41,5,37,23
34,260242,127067,62276,456143,1,25,25,16
11,620855,223652,403203,94937,49,3,10,42
60,77747,359642,115367,457379,39,23,21,33
22,110699,93601,215714,328635,0,23,23,21
15,7559,326201,332601,364588,43,36,9,12
17,353581,66966,489015,186740,6,42,22,24
32,162255,139523,408521,276065,41,31,29,25
72,143310,494780,9214,94824,37,36,16,38
47,447960,313692,488141,416296,31,37,41,3
99,664982,348305,82362,465506,32,39,22,8
1,107928,422403,141938,499362,40,24,20,49
18,22863,405045,442265,362367,47,22,4,33
20,59840,428138,109380,49030,12,21,42,17
39,712325,282874,213045,202961,22,17,1,13
56,22171,259105,31604,327754,5,25,7,26
94,604803,265445,152557,366111,21,44,36,6
29,129187,12619,42819,81705,34,14,11,18
29,227907,328495,108241,123561,20,49,44,24
50,67698,214846,269079,473368,37,42,44,21
91,307625,87711,449443,282432,1,29,25,27
23,670308,387719,344226,62276,42,10,38,26
83,798723,177597,446244,443651,9,17,40,49
32,198425,42049,418432,106463,44,38,3,47
66,580977,41075,273817,189425,31,27,16,7
66,213712,292157,422549,398018,35,26,48,25
10,26729,160113,170434,466190,16,5,19,42
3,329053,240098,499406,54536,33,3,39,50
99,148660,107895,36633,30723,23,32,45,36
42,250710,408132,404542,160901,27,28,36,4
100,680841,117357,460328,248395,49,16,1,26
38,263557,365443,267288,271988,15,46,8,35
65,411604,374271,198709,141570,17,20,21,36
5,703425,241263,37479,433921,38,36,44,1
8,319920,385561,460885,71074,30,13,17,26
89,427548,491128,192707,79267,22,42,3,30
13,529599,295744,466718,427465,0,29,35,26
28,899237,168522,260372,178027,3,13,9,5
58,15471,122010,16334,415470,40,23,25,30
81,200419,391065,402824,42009,25,19,6,21
79,115690,317754,383109,333121,40,29,5,50
23,170313,401592,402657,353653,6,49,39,11
52,733376,316553,440376,396121,30,3,28,45
56,425446,341293,369350,122846,31,44,40,24
93,173379,35654,381124,302411,19,17,47,42
94,371703,437816,313628,425908,38,29,31,19
97,645955,456766,280906,106549,9,9,32,18
16,489469,387954,418343,391447,46,5,29,38
70,884324,149946,60172,8631,15,6,20,22
92,315577,286234,85678,418115,4,0,50,15
19,138787,456171,104317,108488,33,10,49,49
85,208511,29889,191938,121779,19,13,4,48
38,113021,308760,11550,228621,7,15,34,49
68,354571,362149,409972,354645,24,20,27,34
11,551131,111620,31916,334941,24,18,25,12
22,631674,2516,12944,39665,14,5,43,32
67,35019,31717,489795,344153,10,36,4,15
69,113762,440241,494222,250908,49,44,44,10
75,744467,28361,109170,482515,46,20,5,43
45,782872,229026,189681,308414,3,1,23,24
42,116441,276939,80930,79507,44,31,32,26
37,668678,443498,379043,265871,35,43,32,50
29,430583,139230,77260,39301,34,3,49,9
100,298433,25003,150476,55653,9,12,37,31
48,775198,346280,265470,225233,27,5,25,23
70,295827,122996,411654,230613,50,37,6,17
73,808799,148102,245805,430967,47,19,11,1
95,888351,303157,414917,350426,33,48,44,50
7,438015,222822,411199,254852,39,22,0,34
33,282608,352078,73747,5217,6,8,33,35
7,461329,446908,435635,369790,37,16,32,30
56,549911,326179,292247,36212,39,22,37,1
56,372469,99161,258630,413631,33,21,31,8
26,175037,317533,313916,495659,9,21,9,35
34,636460,290414,371163,359071,37,41,29,24
82,494665,497598,346248,212739,41,49,9,11
99,619494,285237,380475,46511,45,31,1,26
69,264597,340086,4292,182409,2,12,33,1
86,11119,263461,453143,438593,38,19,47,37
85,813207,263025,80450,437262,32,14,45,18
69,579366,380235,405544,135933,26,9,33,18
13,69607,396856,125895,173090,40,18,7,33
58,767583,341442,34514,155790,10,12,19,40
86,996906,417366,477750,384483,30,14,21,1
51,312972,54540,497204,239494,45,31,36,48
55,51879,149375,287694,92794,44,6,48,49
48,343491,126564,154550,411807,41,16,46,17
78,561753,477283,474261,263329,39,48,7,26
25,410195,14728,166856,252275,50,25,19,28
98,825987,402360,200484,67578,32,7,42,47
38,519992,139797,159665,261788,18,0,20,38
31,176706,282648,158688,238535,35,41,17,46
48,348537,217308,483854,169132,36,42,3,33
21,666390,430634,258438,139160,27,1,39,41
94,599744,361376,253016,444600,15,2,0,33
4,887353,135691,465546,445299,3,28,41,16
52,617657,155191,114841,288381,33,9,36,19
70,196694,14413,428525,171991,21,36,46,33
94,294700,41375,269420,378528,49,46,3,23
36,245505,72248,373215,416245,10,44,41,40
50,519264,64814,387751,80035,47,7,24,50
40,755719,316649,211013,177644,10,2,29,40
34,592979,146094,367128,86623,43,3,36,9
56,406259,285723,126154,361502,29,29,26,49
77,466879,191365,228454,239113,32,31,26,15
24,76624,420190,12854,485855,11,3,24,33
26,304798,165832,363649,7986,0,31,32,21
98,536300,291330,274487,254914,47,10,38,17
28,806217,304775,361611,257538,7,37,2,41
32,588229,417226,370012,336577,31,18,17,25
20,199382,385171,119077,409624,19,25,46,46
46,190716,125661,363734,82233,45,45,36,50
97,654546,479902,101245,176741,39,13,13,8
20,851705,408830,64637,253038,17,46,15,10
60,637897,107946,187275,137401,29,2,3,27
19,660311,224784,412666,400610,37,31,19,2
33,16105,240786,381367,27343,17,20,20,34
85,381243,128351,308503,482088,45,36,22,13
21,381876,235864,412791,234200,42,8,16,35
4,667349,112846,388017,42754,12,29,43,43
43,470752,20891,392237,322133,1,32,19,31
47,363835,149000,305204,354982,5,29,26,0
50,812296,22051,249512,8528,46,0,3,41
22,194957,162553,221241,373887,45,46,32,40
12,54259,8928,293854,344059,29,45,36,39
29,591206,273178,160381,129296,3,24,45,11
77,131327,258853,315858,457673,34,48,10,15
2,673816,458908,14554,474880,39,28,25,29
77,551258,333157,474820,362068,39,2,14,16
55,246002,228937,281588,220807,44,13,34,47
36,237007,112755,80678,35860,28,50,49,15
21,219546,208237,451150,481003,37,45,23,46
45,305574,185987,211939,314342,22,50,26,28
42,44728,217396,97397,222914,38,33,8,16
97,860439,288608,94067,110008,48,29,25,44
11,115145,185822,57825,52214,39,33,6,32
81,817786,405256,363759,420882,30,47,11,41
30,631479,164049,128973,240626,46,20,26,5
95,235818,190133,337927,63244,4,42,15,18
33,265088,407307,367122,88197,38,32,26,39
76,846077,208727,399679,125339,33,20,13,11
82,39417,226582,166566,336098,0,16,30,3
94,35510,244220,72402,389752,41,22,43,7
78,911131,41622,190689,329122,14,35,17,18
52,454031,224154,125388,219637,41,13,48,14
43,491011,202161,38241,293388,43,32,31,12
17,545524,72620,496201,273366,35,38,48,22
51,494643,56264,145722,401621,19,11,28,15
40,457789,168698,415060,474142,1,27,30,3
71,793403,458108,208662,461367,49,37,11,45
49,81194,226391,121302,56927,38,16,16,37
55,176222,199580,272131,178504,25,38,46,19
6,15028,8513,101061,81027,22,7,14,29
76,101908,381467,211840,125580,6,30,40,49
98,448507,245783,485763,189558,39,37,30,9
19,180598,179059,39540,20483,26,36,26,11
29,669517,172005,402937,218944,6,50,5,31
70,872459,105163,203508,192427,46,49,39,26
85,843434,371297,192027,184853,31,3,29,48
36,823302,289699,270248,58468,7,30,32,37
37,17537,398565,398947,63226,38,3,16,12
21,402930,421286,216161,442124,24,43,7,9
43,949811,310190,262605,334363,9,26,28,49
74,795295,282109,496965,156007,18,3,50,42
48,296245,78506,55705,97621,16,8,43,0
32,473639,335503,12743,220716,44,33,45,33
54,145705,57014,449957,397832,33,24,1,22
77,32752,436337,32439,62960,12,50,47,5
12,609104,479492,234244,130863,27,13,50,24
3,238890,150679,263638,195783,24,20,4,8
5,658859,376575,423091,234325,31,30,25,33
48,281392,124237,52022,33763,49,4,32,22
38,199779,59885,384326,484421,46,13,39,7
11,694319,292472,115799,195509,0,21,42,41
86,223758,183223,179648,346654,46,2,11,5
4,278234,100793,279747,336438,23,20,2,47
82,163454,140308,322892,396355,17,31,50,13
63,748863,305035,82765,186422,30,26,17,7
6,285986,191503,99134,85463,36,44,26,5
38,318405,362867,423708,121956,47,0,42,49
77,243300,41063,67241,280468,32,36,3,17
71,165556,50894,59765,121405,11,2,16,5
59,73978,369885,260478,298891,20,17,12,28
42,850566,152692,327295,57678,33,13,37,18
33,899869,395164,158861,89772,47,2,23,49
20,401931,145658,159239,206429,14,6,17,38
28,913932,401737,495263,18860,30,49,13,36
3,651781,62786,389280,453258,43,44,23,18
1,662480,214385,269805,158810,27,37,7,33
16,678684,45409,468856,92030,36,11,15,30
80,546,45596,136702,345910,30,1,1,41
7,71113,218967,157798,322769,18,38,10,26
26,874203,419030,130087,40467,15,32,37,19
79,434342,482492,256430,93650,8,39,6,8
62,454450,490508,53881,30841,35,23,32,35
29,800960,178832,120957,432742,27,4,30,33
76,325821,441054,451754,9664,21,31,20,7
46,684025,113825,84186,283775,37,40,34,5
85,896544,21331,330756,353570,31,50,5,43
55,636115,484312,100070,382392,20,50,23,23
88,939214,174733,53150,78643,6,31,8,35
63,692013,305000,248380,178146,9,0,36,6
44,950203,43897,360070,267182,31,9,50,17
79,712799,248800,300487,149528,6,29,41,42
30,606874,479242,305346,56615,45,46,8,31
100,790652,423071,429550,258406,18,25,16,36
100,44161,270263,173630,408561,10,1,39,39
74,783316,241896,489503,313459,38,40,21,33
51,521828,133277,331754,390083,19,9,5,5
92,132268,351337,423541,234108,17,31,38,12
30,632075,130532,22239,475812,3,33,34,20
20,176786,157923,451022,334678,32,34,48,6
34,840987,103361,91710,239432,0,24,36,44
42,646084,170330,323908,248368,14,43,1,35
22,469174,259376,51146,137327,28,45,42,2
66,222346,118181,312458,330177,27,29,31,1
64,315037,214409,69091,482240,32,31,46,9
24,488731,70833,42442,173259,27,1,29,49
86,892089,202786,389982,67448,49,21,33,44
88,68428,461242,50764,232957,24,35,41,1
71,589241,303921,268004,84222,2,13,43,0
13,824843,76923,86293,223620,48,35,3,7
21,134823,303570,89952,399533,27,43,38,19
61,20236,20674,461539,64635,26,6,47,46
6,232048,199384,89188,44883,16,12,4,35
42,853257,59922,57506,341072,20,5,19,14
92,582052,52709,95427,348631,29,18,14,25
44,737239,375187,117844,281008,6,16,10,14
50,182245,382438,422949,406630,34,16,32,44
32,604755,317529,403830,163810,17,10,28,31
47,510278,37957,332086,483027,43,1,9,18
34,883475,482440,353668,271979,34,49,50,11
91,220367,492890,447282,113519,36,16,44,48
44,178841,176551,28195,402126,10,38,39,6
83,298116,480877,29458,116602,10,32,43,11
18,105722,174727,80857,109543,39,47,48,42
37,266416,380850,163323,318768,38,6,23,18
41,759927,152311,458573,84647,22,43,41,0
20,298822,229061,71911,52247,0,3,45,27
56,528019,202187,287962,40249,37,6,11,3
42,783456,236057,134316,68766,33,33,30,44
73,957382,163170,389720,425930,21,8,11,46
80,561388,461352,489089,430487,30,45,0,30
58,295768,357374,374540,12114,43,7,6,7
29,325431,409882,218995,135600,24,27,0,10
21,749275,154542,33868,492270,3,17,25,41
26,360931,270610,154275,227042,21,49,12,46
75,78666,203794,45319,209978,23,46,28,9
55,307634,397553,305655,129913,8,28,0,0
2,576214,233378,358480,409555,10,48,44,34
89,54753,210993,357346,498222,11,23,17,6
14,848845,60402,325024,148037,38,0,27,31
81,399486,65833,159066,401469,37,31,19,29
15,929550,51287,445943,64453,37,29,47,50
38,117384,334638,157698,293828,47,13,27,42
99,689187,164055,356704,333599,21,16,2,16
11,541869,94662,489058,125845,28,43,0,24
43,107332,202298,382473,98380,3,6,47,46
63,326070,196279,301982,243701,11,7,7,31
42,856421,342602,14127,372070,42,12,9,48
56,475032,250210,236709,382473,22,31,7,25
42,671722,319739,271420,482493,28,1,15,41
52,967581,273593,11440,176071,23,27,17,41
65,824629,82511,492051,129772,28,16,25,10
88,828113,21346,352018,451551,25,22,34,29
62,533188,365761,169849,91302,29,29,35,43
58,617893,235870,104346,243568,25,35,21,11
4,567006,66885,437128,208394,44,39,6,35
77,267634,331689,5275,495401,40,21,50,1
92,509670,306775,466467,462567,20,22,18,30
97,508201,494158,220257,416019,29,11,14,34
73,897194,92174,346775,12682,12,45,14,30
77,929851,485217,233539,243405,19,49,37,19
12,662979,458378,453828,341722,35,2,28,41
22,733872,482107,354737,348131,8,36,2,48
81,286223,245091,393479,111503,26,39,10,14
89,370617,214840,473255,268921,20,18,28,23
30,700056,264313,98281,160425,46,19,33,5
59,587391,148475,495683,44651,23,17,5,13
42,197106,334984,27815,401400,14,21,14,5
15,556507,180377,270419,431441,47,39,19,26
19,243340,145583,277173,290642,6,12,44,10
15,101995,189653,375570,425838,30,6,46,15
51,636313,331297,174924,281559,10,9,18,16
51,992151,5075,190657,57730,35,23,11,20
49,822301,318056,34611,248238,3,8,5,45
29,479602,113502,217666,341799,9,5,34,25
22,309863,450816,66170,139379,38,19,27,6
90,931373,448088,73125,451807,23,33,29,17
70,17335,129714,204437,493209,41,39,29,39
31,444826,304476,358691,295772,33,11,45,47
81,491487,74981,240454,426802,38,45,30,46
37,753425,84273,284404,355369,11,1,17,7
50,297566,12183,62022,87401,15,14,28,11
71,716259,354172,275390,113377,26,0,32,13
49,461282,353879,7893,479177,31,44,40,20
70,701,402212,31343,27609,47,29,41,36
7,735656,75219,495174,225015,25,4,29,29
72,716887,31371,328157,37622,44,38,13,4
48,155521,170361,192562,490588,25,26,39,18
4,270589,36527,85299,176398,36,36,0,38
46,955654,197588,28600,46171,23,12,15,1
57,357402,391086,461095,237702,32,30,40,50
42,481750,95317,260478,212456,30,32,36,9
71,131644,421386,454271,51355,14,12,17,14
25,373938,183061,396318,179498,46,27,34,33
12,219353,163246,164810,493571,20,41,1,12
72,598015,63221,494257,485640,43,14,42,27
52,493092,488483,114165,103652,42,49,6,46
6,28716,156226,231813,135916,49,19,19,3
31,739475,218431,215743,357822,21,10,0,17
79,331083,235864,196604,150373,35,37,29,32
61,396664,134876,375737,227184,30,2,7,11
100,60103,369405,336939,492764,1,14,15,16
29,52214,80346,53989,401568,22,17,2,22
38,815696,401588,491279,203080,21,18,2,25
96,21087,53696,319715,221260,14,39,35,18
100,200697,479152,397213,264838,13,16,10,19
83,984389,142822,150346,221840,11,9,42,30
89,375397,277347,142191,284407,15,37,14,12
64,792095,154068,479220,256105,14,44,6,18
36,465623,128657,433581,457162,22,29,27,33
8,314043,452639,342682,224431,18,35,50,44
43,635211,241543,428979,188831,13,40,27,21
7,874563,195499,85743,279139,23,5,31,19
97,591406,340835,218699,32980,6,48,0,38
61,805047,138781,391788,298161,12,18,34,43
63,857400,326909,713,82717,48,23,50,19
20,988504,426553,222859,472434,21,39,21,27
74,664621,285944,339370,409936,45,41,49,21
32,709556,303562,417472,364234,17,19,30,6
81,523775,244537,278305,4955,40,45,6,2
22,436842,447787,150214,59676,50,21,5,43
33,804117,437319,56038,117360,23,49,36,21
37,392469,441547,426968,417630,1,10,25,36
62,251507,292740,390726,2114,50,13,20,2
99,460507,214743,369512,464633,40,34,40,22
16,714714,469098,95113,408287,17,9,19,43
28,475090,218327,339587,76429,34,44,38,42
65,224103,227510,310359,418518,20,28,48,38
92,545130,58208,203822,42287,34,50,37,38
